
========== Header ==========
Header: ['page_id', 'ad_id', 'ad_creation_time', 'bylines', 'currency', 'delivery_by_region', 'demographic_distribution', 'estimated_audience_size', 'estimated_impressions', 'estimated_spend', 'publisher_platforms', 'illuminating_scored_message', 'illuminating_mentions', 'scam_illuminating', 'election_integrity_Truth_illuminating', 'advocacy_msg_type_illuminating', 'issue_msg_type_illuminating', 'attack_msg_type_illuminating', 'image_msg_type_illuminating', 'cta_msg_type_illuminating', 'engagement_cta_subtype_illuminating', 'fundraising_cta_subtype_illuminating', 'voting_cta_subtype_illuminating', 'covid_topic_illuminating', 'economy_topic_illuminating', 'education_topic_illuminating', 'environment_topic_illuminating', 'foreign_policy_topic_illuminating', 'governance_topic_illuminating', 'health_topic_illuminating', 'immigration_topic_illuminating', 'lgbtq_issues_topic_illuminating', 'military_topic_illuminating', 'race_and_ethnicity_topic_illuminating', 'safety_topic_illuminating', 'social_and_cultural_topic_illuminating', 'technology_and_privacy_topic_illuminating', 'womens_issue_topic_illuminating', 'incivility_illuminating', 'freefair_illuminating', 'fraud_illuminating']


========== Descriptive Statistics for Entire Dataset ==========
|                                           | Mean      | Min   | Max       |   Unique | Most Frequent                                                    |   Freq Cnt |
|-------------------------------------------|-----------|-------|-----------|----------|------------------------------------------------------------------|------------|
| page_id                                   | -         | -     | -         |     4475 | 4d66f5853f0365dba032a87704a634f023d15babde973bb7a284ed8cd2707b2d |      55503 |
| ad_id                                     | -         | -     | -         |   246745 | 808105264f12fee56bafffa5f10d7e408b0d3d1a12ae96e07406ef785bbe5a05 |          1 |
| ad_creation_time                          | -         | -     | -         |      547 | 2024-10-27                                                       |       8619 |
| bylines                                   | -         | -     | -         |     3790 | HARRIS FOR PRESIDENT                                             |      49788 |
| currency                                  | -         | -     | -         |       18 | USD                                                              |     246599 |
| delivery_by_region                        | -         | -     | -         |   141122 | {}                                                               |      30989 |
| demographic_distribution                  | -         | -     | -         |   215622 | {}                                                               |      30989 |
| estimated_audience_size                   | 556462.86 | 0.0   | 1000001.0 |        9 | 1000001                                                          |     100146 |
| estimated_impressions                     | 45601.53  | 499.0 | 1000000.0 |       39 | 499                                                              |      80822 |
| estimated_spend                           | 1061.29   | 49.0  | 474999.0  |       44 | 49                                                               |     135950 |
| publisher_platforms                       | -         | -     | -         |        9 | ['facebook', 'instagram']                                        |     214434 |
| illuminating_scored_message               | -         | -     | -         |    26338 | e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855 |       5972 |
| illuminating_mentions                     | -         | -     | -         |      278 | []                                                               |      73205 |
| scam_illuminating                         | 0.07      | 0.0   | 1.0       |        2 | 0                                                                |     229070 |
| election_integrity_Truth_illuminating     | 0.05      | 0.0   | 1.0       |        2 | 0                                                                |     234386 |
| advocacy_msg_type_illuminating            | 0.55      | 0.0   | 1.0       |        2 | 1                                                                |     135372 |
| issue_msg_type_illuminating               | 0.38      | 0.0   | 1.0       |        2 | 0                                                                |     152575 |
| attack_msg_type_illuminating              | 0.27      | 0.0   | 1.0       |        2 | 0                                                                |     179666 |
| image_msg_type_illuminating               | 0.22      | 0.0   | 1.0       |        2 | 0                                                                |     191794 |
| cta_msg_type_illuminating                 | 0.57      | 0.0   | 1.0       |        2 | 1                                                                |     141328 |
| engagement_cta_subtype_illuminating       | 0.12      | 0.0   | 1.0       |        2 | 0                                                                |     215934 |
| fundraising_cta_subtype_illuminating      | 0.23      | 0.0   | 1.0       |        2 | 0                                                                |     190367 |
| voting_cta_subtype_illuminating           | 0.14      | 0.0   | 1.0       |        2 | 0                                                                |     211252 |
| covid_topic_illuminating                  | 0.02      | 0.0   | 1.0       |        2 | 0                                                                |     240607 |
| economy_topic_illuminating                | 0.12      | 0.0   | 1.0       |        2 | 0                                                                |     216612 |
| education_topic_illuminating              | 0.01      | 0.0   | 1.0       |        2 | 0                                                                |     243210 |
| environment_topic_illuminating            | 0.02      | 0.0   | 1.0       |        2 | 0                                                                |     241502 |
| foreign_policy_topic_illuminating         | 0.01      | 0.0   | 1.0       |        2 | 0                                                                |     245446 |
| governance_topic_illuminating             | 0.03      | 0.0   | 1.0       |        2 | 0                                                                |     240418 |
| health_topic_illuminating                 | 0.11      | 0.0   | 1.0       |        2 | 0                                                                |     219803 |
| immigration_topic_illuminating            | 0.03      | 0.0   | 1.0       |        2 | 0                                                                |     238462 |
| lgbtq_issues_topic_illuminating           | 0.0       | 0.0   | 1.0       |        2 | 0                                                                |     245948 |
| military_topic_illuminating               | 0.0       | 0.0   | 1.0       |        2 | 0                                                                |     246208 |
| race_and_ethnicity_topic_illuminating     | 0.01      | 0.0   | 1.0       |        2 | 0                                                                |     243677 |
| safety_topic_illuminating                 | 0.03      | 0.0   | 1.0       |        2 | 0                                                                |     238424 |
| social_and_cultural_topic_illuminating    | 0.11      | 0.0   | 1.0       |        2 | 0                                                                |     220630 |
| technology_and_privacy_topic_illuminating | 0.0       | 0.0   | 1.0       |        2 | 0                                                                |     246460 |
| womens_issue_topic_illuminating           | 0.08      | 0.0   | 1.0       |        2 | 0                                                                |     226781 |
| incivility_illuminating                   | 0.19      | 0.0   | 1.0       |        2 | 0                                                                |     200474 |
| freefair_illuminating                     | 0.01      | 0.0   | 1.0       |        2 | 0                                                                |     245162 |
| fraud_illuminating                        | 0.0       | 0.0   | 1.0       |        2 | 0                                                                |     246094 |


========== Grouped by page_id (First 3 Groups) ==========

