
========== Header ==========
Header: ['Facebook_Id', 'post_id', 'Page Category', 'Page Admin Top Country', 'Post Created', 'Post Created Date', 'Post Created Time', 'Type', 'Total Interactions', 'Likes', 'Comments', 'Shares', 'Love', 'Wow', 'Haha', 'Sad', 'Angry', 'Care', 'Video Share Status', 'Is Video Owner?', 'Post Views', 'Total Views', 'Total Views For All Crossposts', 'Video Length', 'Sponsor Id', 'Sponsor Name', 'Sponsor Category', 'Overperforming Score', 'illuminating_scored_messageelection_integrity_Truth_illuminating', 'advocacy_msg_type_illuminating', 'issue_msg_type_illuminating', 'attack_msg_type_illuminating', 'image_msg_type_illuminating', 'cta_msg_type_illuminating', 'engagement_cta_subtype_illuminating', 'fundraising_cta_subtype_illuminating', 'voting_cta_subtype_illuminating', 'covid_topic_illuminating', 'economy_topic_illuminating', 'education_topic_illuminating', 'environment_topic_illuminating', 'foreign_policy_topic_illuminating', 'governance_topic_illuminating', 'health_topic_illuminating', 'immigration_topic_illuminating', 'lgbtq_issues_topic_illuminating', 'military_topic_illuminating', 'race_and_ethnicity_topic_illuminating', 'safety_topic_illuminating', 'social_and_cultural_topic_illuminating', 'technology_and_privacy_topic_illuminating', 'womens_issue_topic_illuminating', 'incivility_illuminating', 'scam_illuminating', 'freefair_illuminating', 'fraud_illuminating']


========== Descriptive Statistics for Entire Dataset ==========
|                                                                  | Mean    | Min     | Max       |   Unique | Most Frequent                                                    | Freq Cnt   |
|------------------------------------------------------------------|---------|---------|-----------|----------|------------------------------------------------------------------|------------|
| Facebook_Id                                                      | -       | -       | -         |       21 | 32fc18da91029ff09bf74fe9887eace6b5d2145809d583f696e344530508b064 | 9013       |
| post_id                                                          | -       | -       | -         |    19009 | 202cc020266f6ac23ec611b9f981df3748bd4a4abdf262a1f56e7abbc48c1dea | 1          |
| Page Category                                                    | -       | -       | -         |        6 | PERSON                                                           | 9453       |
| Page Admin Top Country                                           | -       | -       | -         |        1 | US                                                               | 16280      |
| Post Created                                                     | -       | -       | -         |    18951 | 2023-11-14 11:11:44 EST                                          | 2          |
| Post Created Date                                                | -       | -       | -         |      425 | 2024-10-31                                                       | 103        |
| Post Created Time                                                | -       | -       | -         |    16102 | 19:42:00                                                         | 7          |
| Type                                                             | -       | -       | -         |        9 | Link                                                             | 7404       |
| Total Interactions                                               | -       | -       | -         |     5665 | 23                                                               | 115        |
| Likes                                                            | 2377.7  | 0.0     | 351979.0  |     4118 | 9                                                                | 279        |
| Comments                                                         | 901.58  | 0.0     | 93872.0   |     3075 | 0                                                                | 852        |
| Shares                                                           | 320.54  | 0.0     | 76150.0   |     1840 | 0                                                                | 1882       |
| Love                                                             | 413.88  | 0.0     | 244482.0  |     1600 | 0                                                                | 7005       |
| Wow                                                              | 5.87    | 0.0     | 4345.0    |      194 | 0                                                                | 9162       |
