
========== Header ==========

Header: ['id', 'url', 'source', 'retweetCount', 'replyCount', 'likeCount', 'quoteCount', 'viewCount', 'createdAt', 'lang', 'bookmarkCount', 'isReply', 'isRetweet', 'isQuote', 'isConversationControlled', 'quoteId', 'inReplyToId', 'month_year', 'illuminating_scored_message', 'election_integrity_Truth_illuminating', 'advocacy_msg_type_illuminating', 'issue_msg_type_illuminating', 'attack_msg_type_illuminating', 'image_msg_type_illuminating', 'cta_msg_type_illuminating', 'engagement_cta_subtype_illuminating', 'fundraising_cta_subtype_illuminating', 'voting_cta_subtype_illuminating', 'covid_topic_illuminating', 'economy_topic_illuminating', 'education_topic_illuminating', 'environment_topic_illuminating', 'foreign_policy_topic_illuminating', 'governance_topic_illuminating', 'health_topic_illuminating', 'immigration_topic_illuminating', 'lgbtq_issues_topic_illuminating', 'military_topic_illuminating', 'race_and_ethnicity_topic_illuminating', 'safety_topic_illuminating', 'social_and_cultural_topic_illuminating', 'technology_and_privacy_topic_illuminating', 'womens_issue_topic_illuminating', 'incivility_illuminating', 'scam_illuminating', 'freefair_illuminating', 'fraud_illuminating']


========== Descriptive Statistics for Entire Dataset ==========

|                                           | Mean                   | Min                   | Max                    |   Unique | Most Frequent                                                    |   Freq Cnt |
|-------------------------------------------|------------------------|-----------------------|------------------------|----------|------------------------------------------------------------------|------------|
| id                                        | -                      | -                     | -                      |    27304 | 222a3046e0000ae632522ce79df362d67028311da9cfeb2aba4e9d495123e0ed |          1 |
| url                                       | -                      | -                     | -                      |    27304 | 9f6da3a01742bd3f2f82fb57392670c9a3c9b849821e3d9579abc9e696a6d119 |          1 |
| source                                    | -                      | -                     | -                      |       14 | Twitter Web App                                                  |      14930 |
| retweetCount                              | 1322.06                | 0.0                   | 144615.0               |     5197 | 0                                                                |       1076 |
| replyCount                                | 1063.79                | 0.0                   | 121270.0               |     4517 | 1                                                                |        603 |
| likeCount                                 | 6913.69                | 0.0                   | 915221.0               |    10202 | 1                                                                |        208 |
| quoteCount                                | 128.08                 | 0.0                   | 123320.0               |     1346 | 0                                                                |       2427 |
| viewCount                                 | 507084.73              | 5.0                   | 333502775.0            |    25369 | 96                                                               |         10 |
| createdAt                                 | -                      | -                     | -                      |    27014 | 2023-10-06 04:55:21                                              |          4 |
| lang                                      | -                      | -                     | -                      |       12 | en                                                               |      27281 |
| bookmarkCount                             | 136.21                 | 0.0                   | 42693.0                |     1440 | 0                                                                |       3159 |
| isReply                                   | -                      | -                     | -                      |        2 | False                                                            |      23930 |
| isRetweet                                 | -                      | -                     | -                      |        1 | False                                                            |      27304 |
| isQuote                                   | -                      | -                     | -                      |        2 | False                                                            |      24064 |
| isConversationControlled                  | -                      | -                     | -                      |        2 | False                                                            |      27296 |
| quoteId                                   | 1.7642983966589501e+18 | 7.912639390153769e+17 | 1.8535761683325583e+18 |     3159 | 1.711730672279122e+18                                            |          5 |
| inReplyToId                               | 1.7582857247419996e+18 | 1.2400673584227e+18   | 1.853530653414859e+18  |     3309 | 1.7444996006715807e+18                                           |          6 |
| month_year                                | -                      | -                     | -                      |       15 | 2024-10                                                          |       3586 |
| illuminating_scored_message               | -                      | -                     | -                      |    27136 | 36cb7d55fcf85362ca03f624c2f574f1f55f89db559b17da084df6e643afe5cd |         21 |
| election_integrity_Truth_illuminating     | 0.04                   | 0.0                   | 1.0                    |        2 | 0.0                                                              |      25067 |
| advocacy_msg_type_illuminating            | 0.56                   | 0.0                   | 1.0                    |        2 | 1.0                                                              |      14675 |
| issue_msg_type_illuminating               | 0.51                   | 0.0                   | 1.0                    |        2 | 1.0                                                              |      13217 |
| attack_msg_type_illuminating              | 0.31                   | 0.0                   | 1.0                    |        2 | 0.0                                                              |      18026 |
| image_msg_type_illuminating               | 0.23                   | 0.0                   | 1.0                    |        2 | 0.0                                                              |      20139 |
