Total Rows: 19009

===== Group: ('NA', 'a6cb7db6850459b954f7272e14d770617022639f8847cf25e6859b9453a03813') (Count: 29) =====
Column                         | Count    | Mean       | Min        | Max        | Std        | Unique   | Most Frequent                           
---------------------------------------------------------------------------------------------------------------------------------------------------
Facebook_Id                    |       29 |          - |          - |          - |          - |        1 | a6cb7db6850459b954f7272e14d770617022639f...
post_id                        |       29 |          - |          - |          - |          - |       29 | 8570b69695e00d8f06b12398ed525497e1712b53...
Page Category                  |       29 |          - |          - |          - |          - |        1 | PERSON (Count: 29)                      
Page Admin Top Country         |       29 |          - |          - |          - |          - |        1 | US (Count: 29)                          
Post Created                   |       29 |          - |          - |          - |          - |       29 | 2023-09-04 19:31:16 EDT (Count: 1)      
Post Created Date              |       29 |          - |          - |          - |          - |       21 | 2024-01-11 (Count: 3)                   
Post Created Time              |       29 |          - |          - |          - |          - |       29 | 19:31:16 (Count: 1)                     
Type                           |       29 |          - |          - |          - |          - |        5 | Photo (Count: 18)                       
Total Interactions             |       29 |     115.52 |       29.0 |      454.0 |      96.22 |        - | -                                       
Likes                          |       29 |      50.45 |       12.0 |      104.0 |      24.32 |        - | -                                       
Comments                       |       29 |      46.79 |        5.0 |      329.0 |      69.63 |        - | -                                       
Shares                         |       29 |       3.59 |        0.0 |       15.0 |        3.4 |        - | -                                       
Love                           |       29 |       4.07 |        0.0 |       17.0 |        4.4 |        - | -                                       
Wow                            |       29 |       0.24 |        0.0 |        1.0 |       0.44 |        - | -                                       
Haha                           |       29 |       8.14 |        1.0 |       36.0 |       7.29 |        - | -                                       
Sad                            |       29 |       0.55 |        0.0 |       12.0 |       2.23 |        - | -                                       
Angry                          |       29 |       0.48 |        0.0 |        2.0 |       0.63 |        - | -                                       
Care                           |       29 |       1.21 |        0.0 |       12.0 |       2.98 |        - | -                                       
Video Share Status             |        1 |          - |          - |          - |          - |        1 | owned (Count: 1)                        
Is Video Owner?                |       29 |          - |          - |          - |          - |        2 | - (Count: 28)                           
Post Views                     |       29 |      59.17 |        0.0 |     1716.0 |     318.65 |        - | -                                       
Total Views                    |       29 |      59.97 |        0.0 |     1739.0 |     322.92 |        - | -                                       
Total Views For All Crossposts |       29 |        0.0 |        0.0 |        0.0 |        0.0 |        - | -                                       
Video Length                   |        1 |          - |          - |          - |          - |        1 | 00:40:39 (Count: 1)                     
Sponsor Id                     |        0 |          - |          - |          - |          - |        - | -                                       
Sponsor Name                   |        0 |          - |          - |          - |          - |        - | -                                       
Sponsor Category               |        0 |          - |          - |          - |          - |        - | -                                       
Overperforming Score           |       29 |      -0.68 |      -3.35 |       3.98 |       1.81 |        - | -                                       
illuminating_scored_messageelection_inte... |        0 |          - |          - |          - |          - |        - | -                                       
advocacy_msg_type_illuminating |       29 |       0.55 |        0.0 |        1.0 |       0.51 |        - | -                                       
issue_msg_type_illuminating    |       29 |       0.31 |        0.0 |        1.0 |       0.47 |        - | -                                       
attack_msg_type_illuminating   |       29 |       0.17 |        0.0 |        1.0 |       0.38 |        - | -                                       
image_msg_type_illuminating    |       29 |       0.14 |        0.0 |        1.0 |       0.35 |        - | -                                       
cta_msg_type_illuminating      |       29 |       0.62 |        0.0 |        1.0 |       0.49 |        - | -                                       
engagement_cta_subtype_illuminating |       29 |       0.41 |        0.0 |        1.0 |        0.5 |        - | -                                       
fundraising_cta_subtype_illuminating |       29 |       0.03 |        0.0 |        1.0 |       0.19 |        - | -                                       
voting_cta_subtype_illuminating |       29 |        0.1 |        0.0 |        1.0 |       0.31 |        - | -                                       
covid_topic_illuminating       |       29 |       0.03 |        0.0 |        1.0 |       0.19 |        - | -                                       
economy_topic_illuminating     |       29 |       0.03 |        0.0 |        1.0 |       0.19 |        - | -                                       
education_topic_illuminating   |       29 |       0.03 |        0.0 |        1.0 |       0.19 |        - | -                                       
environment_topic_illuminating |       29 |       0.03 |        0.0 |        1.0 |       0.19 |        - | -                                       
foreign_policy_topic_illuminating |       29 |       0.03 |        0.0 |        1.0 |       0.19 |        - | -                                       
governance_topic_illuminating  |       29 |       0.03 |        0.0 |        1.0 |       0.19 |        - | -                                       
health_topic_illuminating      |       29 |       0.07 |        0.0 |        1.0 |       0.26 |        - | -                                       
immigration_topic_illuminating |       29 |       0.07 |        0.0 |        1.0 |       0.26 |        - | -                                       
lgbtq_issues_topic_illuminating |       29 |        0.0 |        0.0 |        0.0 |        0.0 |        - | -                                       
military_topic_illuminating    |       29 |        0.0 |        0.0 |        0.0 |        0.0 |        - | -                                       
race_and_ethnicity_topic_illuminating |       29 |        0.0 |        0.0 |        0.0 |        0.0 |        - | -                                       
safety_topic_illuminating      |       29 |       0.07 |        0.0 |        1.0 |       0.26 |        - | -                                       
social_and_cultural_topic_illuminating |       29 |        0.0 |        0.0 |        0.0 |        0.0 |        - | -                                       
technology_and_privacy_topic_illuminatin... |       29 |       0.03 |        0.0 |        1.0 |       0.19 |        - | -                                       
womens_issue_topic_illuminating |       29 |        0.0 |        0.0 |        0.0 |        0.0 |        - | -                                       
incivility_illuminating        |       29 |        0.1 |        0.0 |        1.0 |       0.31 |        - | -                                       
scam_illuminating              |       29 |        0.0 |        0.0 |        0.0 |        0.0 |        - | -                                       
freefair_illuminating          |       29 |        0.0 |        0.0 |        0.0 |        0.0 |        - | -                                       
fraud_illuminating             |       29 |        0.0 |        0.0 |        0.0 |        0.0 |        - | -                                       

===== Group: ('NA', '7ec2cb4abf8effe3d91de57944c56b938b4f33059a6e33dfe23b549cf229989a') (Count: 616) =====
Column                         | Count    | Mean       | Min        | Max        | Std        | Unique   | Most Frequent                           
---------------------------------------------------------------------------------------------------------------------------------------------------
Facebook_Id                    |      616 |          - |          - |          - |          - |        1 | 7ec2cb4abf8effe3d91de57944c56b938b4f3305...
post_id                        |      616 |          - |          - |          - |          - |      616 | b83adc0e8ac0aedd39f55b72d723729e114a83d4...
Page Category                  |      358 |          - |          - |          - |          - |        1 | POLITICAL_CANDIDATE (Count: 358)        
Page Admin Top Country         |      358 |          - |          - |          - |          - |        1 | US (Count: 358)                         
Post Created                   |      616 |          - |          - |          - |          - |      597 | 2024-10-31T23:04:19.000Z (Count: 2)     
Post Created Date              |      616 |          - |          - |          - |          - |      225 | 2024-10-31 (Count: 26)                  
Post Created Time              |      616 |          - |          - |          - |          - |      595 | 14:29:37 (Count: 2)                     
Type                           |      358 |          - |          - |          - |          - |        7 | Photo (Count: 176)                      
Total Interactions             |      616 |   64981.01 |      949.0 |   470087.0 |   61836.93 |      356 | 50,629 (Count: 2)                       
Likes                          |      616 |   39394.85 |      492.0 |   351979.0 |   43534.68 |        - | -                                       
Comments                       |      616 |   13920.44 |      204.0 |    93872.0 |   13625.25 |        - | -                                       
Shares                         |      616 |    4835.73 |       54.0 |    69813.0 |    6455.05 |        - | -                                       
Love                           |      616 |    8089.59 |        0.0 |   244482.0 |   18499.56 |        - | -                                       
Wow                            |      616 |      54.68 |        0.0 |     4345.0 |     209.21 |        - | -                                       
Haha                           |      616 |      887.2 |        0.0 |    99276.0 |    4571.86 |        - | -                                       
Sad                            |      616 |     149.08 |        0.0 |    56111.0 |    2280.09 |        - | -                                       
Angry                          |      616 |     144.05 |        0.0 |    11814.0 |     682.68 |        - | -                                       
Care                           |      616 |     509.19 |        0.0 |    85236.0 |    3584.13 |        - | -                                       
Video Share Status             |      136 |          - |          - |          - |          - |        3 | crosspost (Count: 63)                   
Is Video Owner?                |      358 |          - |          - |          - |          - |        3 | - (Count: 222)                          
Post Views                     |      358 |   172083.2 |        0.0 |  4276477.0 |  543435.68 |        - | -                                       
Total Views                    |      358 |  186387.58 |        0.0 |  4462155.0 |  568328.08 |        - | -                                       
Total Views For All Crossposts |      358 |  163542.49 |        0.0 |  4499458.0 |  577345.37 |        - | -                                       
Video Length                   |      136 |          - |          - |          - |          - |      126 | 00:00:22 (Count: 3)                     
Sponsor Id                     |        0 |          - |          - |          - |          - |        - | -                                       
Sponsor Name                   |        0 |          - |          - |          - |          - |        - | -                                       
Sponsor Category               |        0 |          - |          - |          - |          - |        - | -                                       
Overperforming Score           |      358 |      -2.31 |     -15.95 |       8.73 |       3.64 |        - | -                                       
illuminating_scored_messageelection_inte... |        0 |          - |          - |          - |          - |        - | -                                       
advocacy_msg_type_illuminating |      616 |       0.24 |        0.0 |        1.0 |       0.43 |        - | -                                       
issue_msg_type_illuminating    |      616 |       0.11 |        0.0 |        1.0 |       0.31 |        - | -                                       
attack_msg_type_illuminating   |      616 |       0.07 |        0.0 |        1.0 |       0.25 |        - | -                                       
image_msg_type_illuminating    |      616 |       0.06 |        0.0 |        1.0 |       0.23 |        - | -                                       
cta_msg_type_illuminating      |      616 |       0.33 |        0.0 |        1.0 |       0.47 |        - | -                                       
engagement_cta_subtype_illuminating |      616 |       0.18 |        0.0 |        1.0 |       0.39 |        - | -                                       
fundraising_cta_subtype_illuminating |      616 |        0.0 |        0.0 |        1.0 |       0.07 |        - | -                                       
